"";"X";"year";"dr";"dD";"D";"Drelativa";"dG";"G";"Grelativa"
"63";370;40;"5.99";11,99;250,85;0,0478;"1.128.495";"1.396.043";0,0808
"87";2457;140;"2.69";5,37;1114,97;0,0048;"226.886";"92.423.126";0,0025
"51";3877;120;"2.96";5,91;1453,55;0,0041;"274.451";"173.533.795";0,0016
"99";2429;112;"6.4";12,81;885,41;0,0145;"128.821";"74.779.346";0,0172
"71";1580;127;"1.52";3,05;908,14;0,0034;"72.836";"66.446.477";0,0011
"2";973;61;"2.82";5,64;251,3;0,0225;"250.109";"14.078.829";0,0178
"66";1527;74;"5.77";11,53;471,41;0,0245;"1.044.844";"28.034.679";0,0373
"130";2545;85;"4.97";9,94;870,47;0,0114;"775.656";"100.639.155";0,0077
"143";2935;127;"2.33";4,65;963,49;0,0048;"169.967";"68.728.344";0,0025
"152";3308;47;"3.74";7,48;187,7;0,0398;"439.235";"6.871.623";0,0639
"68";3678;103;"5.7";11,4;1241,05;0,0092;"1.020.456";"159.040.766";0,0064
"121";2763;103;"6.48";12,96;732,71;0,0177;"1.319.529";"48.374.125";0,0273
"161";3217;113;"2.6";5,19;664,65;0,0078;"211.815";"37.331.912";0,0057
"82";3304;43;"2";4;156,94;0,0255;"125.976";"4.985.816";0,0253
"154";2687;27;"2.22";4,44;202,48;0,0219;"154.646";"14.643.104";0,0106
"89";3532;114;"2.72";5,45;699,06;0,0078;"233.133";"41.177.398";0,0057
"190";2113;82;"2.65";5,3;532,17;0,01;"220.363";"3.440.619";0,0064
"164";1818;99;"4.19";8,38;768,73;0,0109;"55.197";"56.312.561";0,0098
"184";3980;41;"3.35";6,69;254,78;0,0263;"351.964";"14.607.385";0,0241
"156";2075;44;"3.35";6,71;248,08;0,027;"353.293";"14.144.122";0,025
"10";3231;127;"1.83";3,65;743,9;0,0049;"104.651";"41.526.439";0,0025
"97";2082;51;"3.6";7,2;320,9;0,0224;"407.411";"20.549.163";0,0198
"151";1947;72;"1.89";3,79;632,18;0,006;"11.265";"53.543.858";0,0021
"77";3590;15;"3.37";6,73;77,3;0,0871;"355.733";"3.449.437";0,1031
"180";2976;20;"4.41";8,83;140,16;0,063;"61.195";"9.961.967";0,0614
"194";673;13;"1.89";3,79;36,95;0,1026;"112.785";"925.642";0,1218
"131";806;62;"12.2";24,39;500,56;0,0487;"4.672.724";"42.396.948";0,1102
"191";2103;72;"5.7";11,39;456,22;0,025;"1.019.652";"28.774.456";0,0354
"60";3060;104;"2.26";4,51;847,63;0,0053;"159.925";"67.980.738";0,0024
"22";627;77;"3.09";6,19;552,03;0,0112;"300.737";"37.427.044";0,008
"174";3544;126;"2.98";5,95;755,83;0,0079;"278.305";"43.425.599";0,0064
"65";4105;41;"3.64";7,27;293,07;0,0248;"415.121";"19.213.319";0,0216
"107";2106;75;"2";4;484,31;0,0083;"125.744";"31.479.662";0,004
"100";3429;11;"1.29";2,59;29,56;0,0876;"52.669";"681.677";0,0773
"106";1464;11;"2.72";5,44;51,58;0,1055;"232.722";"2.123.341";0,1096
"35";2186;12;"0.78";1,55;23,62;0,0657;"18.943";"394.687";0,048
"41";2464;4;"6.53";13,05;49,87;0,2618;"1.338.448";"5.103.669";0,2623
"13";968;56;"6.54";13,08;219,24;0,0597;"1.344.079";"12.303.333";0,1092
"28";3737;162;"2.79";5,58;1787,7;0,0031;"244.374";"206.811.921";0,0012
"189";3787;30;"1.95";3,9;185,09;0,021;"119.158";"11.634.512";0,0102
"114";2497;37;"7.09";14,17;505,42;0,028;"1.577.356";"76.280.014";0,0207
"128";2008;133;"2.93";5,85;1079,36;0,0054;"269.057";"81.536.434";0,0033
"103";3566;148;"1.95";3,9;836,61;0,0047;"119.534";"46.032.259";0,0026
"74";3612;37;"12.58";25,16;352,99;0,0713;"4.972.499";"4.044.122";0,123
"88";2322;5;"1.28";2,56;12,89;0,1987;"51.528";"289.022";0,1783
"26";966;54;"6.94";13,89;194,14;0,0715;"1.514.841";"9.824.671";0,1542
"50";18;18;"2.32";4,64;60,96;0,0761;"169.129";"213.808";0,0791
"169";2846;38;"4.55";9,1;247,49;0,0368;"650.268";"1584.95";0,041
"21";3441;23;"1.63";3,26;82,6;0,0395;"83.583";"2.836.257";0,0295
"23";1210;26;"0.7";1,4;44,66;0,0314;"15.456";"723.206";0,0214
